instance,insertion,first,random,mid,median 3,median 3 random,median 9,median 9 random,dual pivot
56-10000,SAT:1.0:1.0:1.0:0,SAT:0.01:0.01:0.01:0,SAT:0.01:0.01:0.01:0,SAT:0.02:0.02:0.02:0,SAT:0.01:0.01:0.01:0,SAT:0.01:0.01:0.01:0,SAT:0.01:0.01:0.01:0,SAT:0.02:0.02:0.02:0,SAT:0.01:0.01:0.01:0
57-10000,SAT:1.02:1.02:1.02:0,SAT:0.01:0.01:0.01:0,SAT:0.02:0.02:0.02:0,SAT:0.01:0.01:0.01:0,SAT:0.01:0.01:0.01:0,SAT:0.01:0.01:0.01:0,SAT:0.01:0.01:0.01:0,SAT:0.02:0.02:0.02:0,SAT:0.01:0.01:0.01:0
58-10000,SAT:0.99:0.99:0.99:0,SAT:0.02:0.02:0.02:0,SAT:0.01:0.01:0.01:0,SAT:0.01:0.01:0.01:0,SAT:0.01:0.01:0.01:0,SAT:0.02:0.02:0.02:0,SAT:0.01:0.01:0.01:0,SAT:0.01:0.01:0.01:0,SAT:0.01:0.01:0.01:0
59-10000,SAT:1.04:1.04:1.04:0,SAT:0.01:0.01:0.01:0,SAT:0.01:0.01:0.01:0,SAT:0.01:0.01:0.01:0,SAT:0.01:0.01:0.01:0,SAT:0.02:0.02:0.02:0,SAT:0.01:0.01:0.01:0,SAT:0.02:0.02:0.02:0,SAT:0.01:0.01:0.01:0
60-10000,SAT:1.01:1.01:1.01:0,SAT:0.01:0.01:0.01:0,SAT:0.01:0.01:0.01:0,SAT:0.01:0.01:0.01:0,SAT:0.02:0.02:0.02:0,SAT:0.01:0.01:0.01:0,SAT:0.01:0.01:0.01:0,SAT:0.02:0.02:0.02:0,SAT:0.01:0.01:0.01:0
61-10000,SAT:0.99:0.99:0.99:0,SAT:0.01:0.01:0.01:0,SAT:0.01:0.01:0.01:0,SAT:0.01:0.01:0.01:0,SAT:0.02:0.02:0.02:0,SAT:0.01:0.01:0.01:0,SAT:0.01:0.01:0.01:0,SAT:0.02:0.02:0.02:0,SAT:0.01:0.01:0.01:0
62-10000,SAT:1.01:1.01:1.01:0,SAT:0.01:0.01:0.01:0,SAT:0.02:0.02:0.02:0,SAT:0.01:0.01:0.01:0,SAT:0.01:0.01:0.01:0,SAT:0.01:0.01:0.01:0,SAT:0.02:0.02:0.02:0,SAT:0.01:0.01:0.01:0,SAT:0.01:0.01:0.01:0
63-10000,SAT:0.99:0.99:0.99:0,SAT:0.02:0.02:0.02:0,SAT:0.01:0.01:0.01:0,SAT:0.01:0.01:0.01:0,SAT:0.01:0.01:0.01:0,SAT:0.02:0.02:0.02:0,SAT:0.01:0.01:0.01:0,SAT:0.01:0.01:0.01:0,SAT:0.01:0.01:0.01:0
64-10000,SAT:0.99:0.99:0.99:0,SAT:0.01:0.01:0.01:0,SAT:0.01:0.01:0.01:0,SAT:0.01:0.01:0.01:0,SAT:0.01:0.01:0.01:0,SAT:0.02:0.02:0.02:0,SAT:0.01:0.01:0.01:0,SAT:0.01:0.01:0.01:0,SAT:0.01:0.01:0.01:0
65-10000,SAT:0.98:0.98:0.98:0,SAT:0.01:0.01:0.01:0,SAT:0.01:0.01:0.01:0,SAT:0.01:0.01:0.01:0,SAT:0.01:0.01:0.01:0,SAT:0.02:0.02:0.02:0,SAT:0.01:0.01:0.01:0,SAT:0.01:0.01:0.01:0,SAT:0.01:0.01:0.01:0
